,name,rating,lat,lng,geometry,park_area_ha,polygon_geometry
4,Enfield Town Park,4.5,51.6490673,-0.08673159999999999,POINT (-0.08673159999999999 51.6490673),9.605295653386818,"POLYGON ((532305.0471959009 196168.6604150183, 532306.5125895343 196178.5360249585, 532311.8948281221 196185.5540247655, 532321.399172008 196194.3045909363, 532330.2361325959 196202.10294963, 532338.9124723501 196208.8955891682, 532349.2908380819 196213.6073118243, 532362.1948924597 196219.1530024944, 532374.7548577352 196225.4130500281, 532388.8769193529 196241.2842285837, 532393.03351923 196261.0008380169, 532392.0704057211 196276.9000028626, 532392.048127361 196277.2221358991, 532386.1200823261 196304.0193191396, 532386.3536884515 196330.2656063246, 532391.623333386 196346.8620926268, 532398.0506668143 196369.4758403886, 532403.2495331599 196402.7849723762, 532403.1237691932 196417.3706853359, 532389.753116813 196445.798019499, 532394.7416157376 196477.6215965591, 532452.3356457895 196473.1094921842, 532445.6651330714 196432.5729559705, 532491.5250924652 196413.5766836104, 532507.7344802988 196404.1752320588, 532534.4437267848 196376.3425630106, 532565.5929673943 196349.7392294798, 532581.9140716675 196336.0899711878, 532605.5917266243 196326.4840059857, 532642.7652312613 196318.0556006212, 532679.4892739685 196314.8904257597, 532677.8359761932 196301.9161104758, 532674.6065667527 196276.982172292, 532670.1870169949 196238.0400314271, 532665.9079058369 196190.3103288485, 532661.1813258311 196158.3152599498, 532655.9976684686 196127.6435908047, 532648.8576719533 196108.7387330901, 532642.9480271321 196102.5745239281, 532514.0659004357 195983.4074738028, 532490.4714407434 196045.0179529958, 532417.7542944313 196097.8639946735, 532391.4651093354 196111.4754012484, 532305.0471959009 196168.6604150183))"
5,Victoria Park,4.6,51.5365614,-0.038972,POINT (-0.038972 51.5365614),6.29700074533288,"POLYGON ((526508.8261206856 196526.1125283992, 526519.2512989818 196527.1745369192, 526521.6429579884 196527.8575217145, 526545.9573813997 196534.8309204107, 526564.5955954397 196540.1601402569, 526578.7909517845 196543.2417147341, 526596.3668763372 196546.7640442507, 526634.2287839525 196549.2365344402, 526717.6649339335 196565.9928760639, 526820.8409769817 196592.4148230391, 526835.1085777625 196595.3654094671, 526836.0562649966 196573.3119308582, 526829.4486234925 196570.1751185639, 526837.5975161393 196537.2525082846, 526841.1203066199 196522.6412504768, 526818.0297263385 196519.8699769664, 526790.6243301736 196514.1642022748, 526790.3829333003 196430.7564925359, 526803.8423004857 196421.7912596812, 526839.0330895846 196394.7434014482, 526831.2207012738 196384.7106257461, 526827.6129995162 196376.4858406677, 526823.9491973667 196376.2938082542, 526813.212834963 196391.770179013, 526798.5881360959 196398.0689208389, 526793.4542104116 196376.1745376972, 526822.9941482982 196368.5584024649, 526819.1851758795 196356.4895414488, 526817.4682701483 196346.2869515461, 526793.5785906023 196352.16421432, 526780.1548510825 196350.3143109539, 526727.1257194633 196342.0304044886, 526654.2449888901 196333.7172093009, 526608.7982203558 196324.7565059093, 526568.5965574231 196313.9245150621, 526562.3980055803 196331.4845502547, 526556.648742497 196334.4118927612, 526546.374586357 196346.6622299475, 526537.9543090337 196397.137820199, 526527.4954073193 196443.890301561, 526511.1530597891 196508.3554304287, 526508.8261206856 196526.1125283992))"
6,Sunnyhill Park,4.5,51.59832369999999,-0.2318137,POINT (-0.2318137 51.59832369999999),22.131031681257664,"POLYGON ((522456.7744515 190044.7755977764, 522456.596044924 190059.6148849597, 522481.4030205883 190061.4606464827, 522488.8960091727 190061.6862656896, 522530.0878216751 190064.8852722213, 522530.8435036793 190143.1162296756, 522528.6101446541 190225.4476005866, 522525.8216329667 190294.9137037967, 522492.4356285565 190299.7034755688, 522491.3271881113 190307.1429932519, 522528.8767073071 190306.7044630052, 522548.7544771363 190361.3076215588, 522621.0406401145 190461.7431698712, 522634.7408086797 190456.5779249664, 522639.5457893317 190454.7469708615, 522663.9843981842 190445.6801722219, 522661.4248968001 190465.2465212474, 522657.1304251269 190468.6031066625, 522655.9255009467 190486.8892445209, 522654.6239269725 190497.7178454294, 522687.9408891439 190484.8603202258, 522693.1734624323 190429.885311489, 522738.4144440901 190411.697627855, 522759.7604705856 190465.0799256563, 522759.3784676895 190467.1180696259, 522847.520399941 190434.9492546811, 522930.9790534574 190403.6363702987, 522911.4325072655 190352.1218037241, 522916.98718898 190319.1086770791, 522928.0829868921 190275.3587243458, 522950.5874256447 190220.1130395404, 522971.0332514393 190193.458849488, 523018.7285765922 190173.0742957986, 523019.4003543112 190169.0959447422, 523018.5975500008 190163.0566475391, 522995.9832946882 190172.822595463, 522970.5781481894 190181.085505849, 522966.0223154254 190170.3484909749, 522953.7895370642 190129.2705445333, 522940.8854317559 190130.1369398487, 522894.4884848226 190125.2727757291, 522879.5024303059 190120.2581975943, 522786.7240577166 190103.2991522832, 522798.94068169 190046.7242415422, 522799.6610204197 190041.8791262826, 522812.1636216792 189983.8090045736, 522830.8232834968 189927.3457972761, 522866.5835481131 189869.3388334553, 522905.3256274845 189784.4321510405, 522928.0011779802 189718.1968429774, 522943.5184942849 189671.3606625929, 522953.0246794598 189615.7662612764, 522942.8310826549 189611.4130537701, 522939.0502838971 189606.4142610604, 522914.3352732761 189600.6851917382, 522905.6953596178 189600.8539889519, 522849.4108321791 189593.1024047015, 522837.4139868465 189603.0931230686, 522785.4592061822 189598.28461659, 522785.9138020277 189573.226150462, 522786.6680675759 189531.5064687474, 522774.1929953222 189535.4882156399, 522774.0758761021 189564.0710343965, 522770.2389588933 189587.9904872512, 522780.5835632403 189617.0158996502, 522795.5548032917 189646.1645618665, 522805.7453259558 189678.3909271849, 522809.776926558 189724.8109810587, 522773.7410411407 189784.4584878836, 522717.6499498909 189835.4865999009, 522657.673177483 189897.3481053161, 522634.7777034991 189931.3215470756, 522626.3027253745 189997.4453963859, 522616.6985486917 190049.8110337903, 522534.6015152687 190047.3133848254, 522456.7744515 190044.7755977764))"
7,Whetstone Stray,3.5,51.6250145,-0.1825104,POINT (-0.1825104 51.6250145),12.787476235396479,"POLYGON ((525677.141913072 193177.7709660994, 525691.1742978876 193226.3124607414, 525678.8776014177 193274.9680640873, 525746.5590094574 193387.8903199373, 525808.921858222 193514.3237394964, 525878.2514436265 193717.221502049, 525911.4418024988 193856.2729728995, 525926.8012464339 193926.1686737924, 525941.1874965496 193944.9871889217, 525954.0447453361 193973.2038313985, 525965.8109880742 193969.2904700884, 526061.2457255883 193942.6238336554, 526095.0210903944 193940.6277022755, 526107.0094816473 193939.7580121545, 526138.0400156778 193939.5298169385, 526143.0407798674 193939.4986686011, 526151.0485642226 193938.5743809641, 526152.0988719886 193903.9382951534, 526133.4815731955 193831.5014152945, 526115.7201787847 193761.6564199439, 526093.8697260598 193691.6317526164, 526073.0335000235 193625.905442298, 526038.0733938706 193618.6587182605, 526011.7319220258 193626.3039897311, 525981.2241330247 193538.3939021443, 525948.9368441564 193545.8915309348, 525927.0034539435 193471.8263929365, 525901.8745995879 193478.311782554, 525891.5935062475 193461.4538422956, 525883.8837242436 193460.6723440254, 525875.7273329952 193430.2249657975, 525893.6975488683 193424.752035989, 525854.6604189087 193344.9207402304, 525799.5819407587 193312.7173853088, 525786.711176311 193223.3331337514, 525739.832795084 193214.2234978196, 525712.7514799741 193163.7443085297, 525681.1916728013 193176.1801301714, 525677.141913072 193177.7709660994))"
10,Dollis Valley Allotments,3.0,51.64292020000001,-0.2016679,POINT (-0.2016679 51.64292020000001),1.951751522484384,"POLYGON ((524450.9744373439 195393.7206521585, 524560.7875621858 195412.012884317, 524570.264863166 195358.8902650491, 524600.8086447062 195311.4273538229, 524617.7746354503 195316.5966660058, 524633.1772763163 195278.9982063741, 524614.7520398007 195269.264040838, 524625.7682957966 195244.4764515042, 524578.6047616986 195218.7009712205, 524568.3349576122 195226.1148796835, 524543.6139614261 195294.9301905183, 524490.4208215091 195258.4471777477, 524477.5601411323 195255.8050920506, 524450.9744373439 195393.7206521585))"
11,Russell Square,4.4,51.52175,-0.12589,POINT (-0.12589 51.52175),2.5260135353786044,"POLYGON ((530006.8301513873 181980.2769387157, 530006.735547433 181987.2292978135, 530007.3894189566 181992.3313652015, 530009.0637503988 181997.7043544293, 530014.081756158 182005.0657391118, 530083.029121677 182057.0831316511, 530098.5392171908 182066.2155024675, 530108.3941428213 182069.5613672373, 530120.2091760467 182070.0976458153, 530132.0528224877 182066.8067694953, 530137.5490257831 182063.6203854025, 530143.2136070009 182059.281043463, 530202.2327679895 181982.621415041, 530206.9004827829 181974.9294190809, 530209.3573836219 181967.636999531, 530209.6347204373 181960.0661668722, 530208.5723927777 181953.5737666336, 530206.7814635331 181948.9655246211, 530203.8891803154 181942.6376528492, 530197.5470071307 181936.2992668299, 530175.3049826608 181919.7722618499, 530172.5024237823 181917.7976252295, 530155.3294118855 181905.8182732494, 530154.3384813248 181904.9360579028, 530117.7322536426 181879.2282571811, 530108.5735517235 181875.7889431946, 530097.843263346 181875.4362741657, 530090.4467199873 181876.6489650173, 530083.5481302434 181879.8328827796, 530075.8738829554 181885.6564599069, 530012.985153074 181963.553802487, 530008.7002453973 181971.4894410686, 530006.8301513873 181980.2769387157))"
13,Isleworth Ait,5.0,51.4689212,-0.3205481,POINT (-0.3205481 51.4689212),3.464873982034046,"POLYGON ((516703.2564822648 175571.7570236911, 516705.1282810509 175573.1684732497, 516705.2842009563 175580.6155928407, 516705.0737754747 175589.1892054477, 516706.4049439689 175589.9318071161, 516709.7946078544 175593.0358824101, 516716.8417007593 175595.4449576392, 516717.3519172242 175598.3495123144, 516715.9142623934 175600.130154141, 516711.9384761468 175600.1614029892, 516709.4261211724 175609.717000777, 516710.7663103519 175617.9478624712, 516710.8502137628 175624.2918209202, 516708.4371527804 175632.5479091084, 516711.3601980934 175639.63565996, 516711.7733256854 175653.1414268425, 516707.6465114196 175670.0701832679, 516712.0053907747 175673.0295846077, 516713.3015896649 175680.1468023267, 516717.0418395516 175684.6274669945, 516718.5721955635 175693.3522533373, 516712.69846863 175694.3302353505, 516713.8851272535 175714.1067621107, 516706.3119993702 175728.2861830915, 516706.0084151657 175751.5333563974, 516704.291452362 175753.3743557284, 516702.4975671385 175779.7917644806, 516704.0809689692 175793.7805417562, 516701.4530647038 175798.983079139, 516703.0833971809 175802.4362503855, 516701.3542155985 175823.3030802742, 516708.516062722 175826.1487160851, 516707.6002695031 175828.5087674182, 516702.0535833047 175829.1715882669, 516700.81713594 175837.0318485914, 516702.3277279356 175839.9482091342, 516703.7124470124 175848.6585292224, 516710.8343785544 175871.4306047723, 516723.1663552794 175908.5194127742, 516726.5422222549 175910.6997029901, 516730.0313107013 175919.4582849279, 516737.4842616098 175927.7848240819, 516740.4939267901 175934.4184075639, 516747.4309809527 175942.2101923474, 516755.8191705717 175955.8098639519, 516759.7710393576 175955.9005014073, 516760.7484196847 175959.3387194904, 516763.3324745464 175961.5008752386, 516782.4395772268 175967.9696638815, 516797.4012190001 175973.6980833467, 516803.1625835241 175974.5757393227, 516807.6736075644 175973.0102852579, 516809.9885192277 175969.3360607147, 516811.1616670337 175963.332475033, 516812.9495292676 175954.1608467761, 516813.0984394325 175947.0656256321, 516813.839087886 175940.5291758947, 516813.4021281857 175932.6194112164, 516812.9738979146 175924.6319622988, 516809.7769228424 175900.7258762183, 516804.7007278074 175862.7129205038, 516796.1768426553 175817.4666098151, 516793.7303381993 175804.459367737, 516784.7814005384 175755.9210529731, 516777.0630432528 175718.5596276357, 516775.4340754097 175691.7188041057, 516774.0734726693 175669.2345541877, 516772.4253467147 175642.0149986375, 516770.3952904812 175624.4777647058, 516767.0531016317 175593.247242745, 516760.7477052863 175553.6484904033, 516752.2311648247 175514.3995976479, 516744.8399470981 175486.3807914317, 516742.5091252 175475.8908059189, 516736.1799632098 175466.4106598769, 516733.3690485328 175460.7941517498, 516733.1383284088 175456.0045203595, 516732.7270249596 175448.7851989155, 516731.3744920845 175444.4260298766, 516726.4219416466 175444.0120761254, 516722.5514898858 175446.4156539329, 516713.6258217715 175456.8256050034, 516711.2828543021 175464.7495081338, 516708.8248669794 175477.3883584078, 516712.4867746013 175480.4430407175, 516712.8056275483 175493.2123018192, 516712.7225687903 175506.8402074492, 516711.0772440796 175527.9871103701, 516704.6491742702 175548.290041474, 516706.4629276466 175551.3246114917, 516704.7520168066 175555.3242681453, 516706.2863311935 175565.3954288428, 516703.6889739296 175568.3511398273, 516703.2564822648 175571.7570236911))"
15,Friary Park,4.5,51.6185,-0.1624,POINT (-0.1624 51.6185),9.48819586652604,"POLYGON ((527133.2136181291 192737.2890043651, 527159.4350722841 192743.5112972501, 527186.1901136116 192758.2708762917, 527212.429458816 192778.937532032, 527237.6786572424 192809.2270857598, 527250.3197766222 192838.4543206024, 527263.4351521978 192876.6401157174, 527268.6690055233 192891.9052350303, 527281.5423231861 192911.8802296745, 527302.0249578909 192895.3365875234, 527336.4718281524 192870.2643855677, 527418.5891923986 192828.1314919193, 527427.9542341188 192822.903529136, 527446.3016139618 192802.6123249626, 527458.9335964444 192773.2751921427, 527466.2908370537 192687.1211544459, 527469.7604494183 192668.1691360282, 527482.5747556728 192629.9567937022, 527487.7225454291 192613.9624773885, 527497.2740025244 192593.3720657479, 527450.3307815659 192582.8318781076, 527453.8677882974 192560.3763469643, 527418.989513207 192552.3879589718, 527429.457233415 192504.1906059788, 527421.2869775702 192503.4842503906, 527422.4802845495 192493.7776138125, 527369.5776462317 192499.245549174, 527344.1576430526 192501.877692214, 527292.7699753579 192511.8466952273, 527216.923095949 192549.087384284, 527204.5814854039 192552.0154458737, 527186.3671253906 192557.3664901908, 527173.6160813934 192598.3852371736, 527167.6324711671 192618.1867337952, 527157.3340471081 192625.2723034537, 527133.2136181291 192737.2890043651))"
16,Hatherop Park,4.3,51.4208139,-0.384767,POINT (-0.384767 51.4208139),5.52225958319726,"POLYGON ((512217.9180344664 170285.1000582533, 512231.4643338733 170301.4305796021, 512274.927134983 170364.9482462126, 512357.0683906465 170312.740818858, 512369.110122025 170313.985196684, 512386.0711640142 170355.5804951052, 512443.9014944322 170497.4091510668, 512448.0431183729 170510.217418017, 512452.1242755334 170512.8329952427, 512454.6467549183 170511.6870157319, 512465.6175312257 170493.9716735492, 512477.3345996339 170468.2843866175, 512493.8997274286 170444.194935735, 512502.6632134617 170447.4033785153, 512508.6339589231 170431.2133371268, 512579.8747379224 170444.3119455571, 512581.7791950435 170437.1332459921, 512583.1571696427 170434.5824451738, 512527.7775531454 170422.0562581223, 512538.5068056835 170398.2832166019, 512583.5831202859 170279.7854214506, 512486.2470665413 170251.8477913719, 512432.3418285082 170254.3863777088, 512436.775323578 170203.7943630142, 512397.9452149764 170149.4672835547, 512217.9180344664 170285.1000582533))"
17,Carlisle Park,4.5,51.4215242,-0.3678393,POINT (-0.3678393 51.4215242),4.741573898969157,"POLYGON ((513450.3604876087 170450.8962955088, 513509.5744134999 170465.1423345071, 513499.7889602896 170529.4443457041, 513555.4287838627 170532.9638048595, 513600.5904343419 170531.2771174601, 513632.2334949237 170529.7235052419, 513637.1010684323 170529.48705975, 513653.0339428521 170470.340085571, 513676.5282350987 170472.6883950401, 513737.8132201275 170475.7571070438, 513745.3618480363 170474.768356303, 513742.1757428383 170407.7185338711, 513732.0977149367 170375.2060135129, 513686.4861022636 170285.6035779884, 513626.0400840728 170209.1781101313, 513583.2730704396 170276.2611406962, 513514.1458134204 170451.0250277731, 513512.6718511116 170454.7416896102, 513454.2726223327 170441.7042268458, 513452.9353088745 170445.8467330125, 513450.3604876087 170450.8962955088))"
